WORDCOUNTS,WEIGHT
the,1208
and,944
of,926
in,584
mimbres,449
a,449
to,243
that,194
is,187
on,176
m,159
new,159
s,146
mexico,139
j,131
for,131
classic,127
by,127
region,126
are,116
archaeology,114
at,108
have,108
as,106
d,105
with,100
university,95
research,95
southwest,93
from,93
hegmon,92
i,86
mogollón,84
pithouse,84
or,83
pottery,83
site,82
sites,82
e,79
some,78
p,77
nelson,76
c,75
american,74
valley,74
et,73
were,73
also,70
pp,68
been,68
be,66
more,65
archaeological,65
leblanc,64
phase,61
h,60
g,59
late,59
press,59
was,58
has,58
it,57
but,57
period,57
not,57
large,56
anthropology,56
although,55
no,54
this,54
r,52
w,51
other,50
l,50
mobility,49
there,49
shafer,49
an,49
use,47
ruin,47
b,46
anyon,44
department,44
see,44
area,43
early,43
evidence,42
southwestern,41
found,41
nan,41
most,39
these,39
eastern,38
work,38
lekson,38
creel,36
data,36
settlement,35
social,35
one,34
eds,34
pueblo,33
population,33
al,33
many,33
gilman,32
than,32
architecture,32
ed,32
different,32
report,32
recent,32
arizona,32
areas,31
studies,30
including,30
designs,29
which,29
village,28
production,28
gila,28
tucson,28
ai,28
however,28
structures,28
reorganization,28
occupations,28
nm,27
papers,27
general,27
residential,27
analysis,27
across,26
changes,26
part,26
thesis,26
women,25
organization,25
prehistoric,25
issues,25
few,25
las,25
state,24
journal,24
used,24
field,24
world,24
discussed,24
anthropological,24
much,24
k,23
several,23
texas,23
into,22
may,22
county,22
kiva,22
regional,22
patterns,22
material,22
study,22
western,21
thus,21
upper,21
interpretations,21
excavated,21
villages,21
museum,21
only,21
communal,21
number,21
minnis,21
la,21
ranch,21
conference,21
might,20
analyses,20
ceramics,20
occupation,20
during,20
people,20
around,20
periods,20
various,20
ceramic,20
v,20
strategies,20
diehl,20
black,20
excavations,19
creek,19
albuquerque,19
suggested,19
cultural,19
well,19
postclassic,19
mountain,19
cruces,19
northern,19
foundation,19
what,19
interaction,19
specifically,18
argued,18
rooms,18
style,18
sequence,18
three,18
architectural,18
land,18
through,18
grant,18
between,18
they,17
survey,17
mills,17
ritual,17
n,17
example,17
gender,17
small,17
southern,17
time,17
would,17
often,17
abandonment,17
brody,17
years,17
later,16
t,16
human,16
dependence,16
such,16
galaz,16
stokes,16
sedentism,16
generally,16
made,16
station,16
earlier,16
martin,16
antiquity,16
associated,16
north,16
center,15
room,15
possible,15
household,15
subsistence,15
impact,15
painted,15
populations,15
santa,15
crown,15
understanding,15
detailed,15
known,15
powell,15
distribution,15
finally,15
remains,15
college,14
all,14
styles,14
relatively,14
y,14
estimates,14
exchange,14
important,14
society,14
schaafsma,14
mortuary,14
especially,14
az,14
primarily,14
fe,14
agricultural,14
art,14
focus,14
common,13
history,13
prehispanic,13
bowls,13
regarding,13
beginning,13
burials,13
burial,13
basis,13
its,13
artifact,13
change,13
published,13
hard,13
suggest,13
contrast,13
culture,13
noted,13
considerable,13
less,13
rio,13
systems,13
sometimes,13
life,13
pithouses,13
considered,13
both,13
researchers,13
city,13
shift,13
among,13
if,12
dates,12
their,12
river,12
based,12
puebloan,12
f,12
community,12
about,12
two,12
larger,12
men,12
brady,12
laumbach,12
structure,12
probably,12
occupied,12
who,12
indicate,12
shaffer,12
paper,12
vessels,12
transition,12
major,12
maize,11
case,11
review,11
cosgrove,11
leadership,11
parts,11
special,11
grande,11
movement,11
do,11
clear,11
provide,11
dissertation,11
pueblos,11
ph,11
past,11
information,11
variability,11
increased,11
along,10
environmental,10
materials,10
ii,10
great,10
differences,10
east,10
west,10
better,10
cameron,10
town,10
possibly,10
communities,10
called,10
because,10
annual,10
indicative,10
depicted,10
where,10
james,10
circle,10
she,10
continued,10
prehistory,10
particularly,10
pit,10
thompson,10
table,10
design,10
resource,10
include,10
groups,9
kinds,9
season,9
nature,9
those,9
agriculture,9
z,9
old,9
after,9
summarized,9
beyond,9
focused,9
interpreted,9
brown,9
he,9
overall,9
limited,9
interpretation,9
increasingly,9
farming,9
pattern,9
forms,9
project,9
range,9
similar,9
households,9
concluded,9
hill,9
school,9
then,9
form,9
level,9
little,9
course,9
indicated,8
brewington,8
needed,8
complex,8
excavation,8
upland,8
animas,8
implications,8
seems,8
fitting,8
diversity,8
labor,8
development,8
unpublished,8
drainage,8
houses,8
his,8
sri,8
schollmeyer,8
ancient,8
could,8
further,8
blake,8
near,8
silver,8
reserve,8
preparation,8
sixty,8
ancestral,8
whittlesey,8
cliff,8
management,8
similarly,8
systematic,8
assemblages,8
lake,8
washington,8
anasazi,8
ceremonial,8
provides,8
graves,8
can,8
division,8
seen,8
understand,8
when,8
variable,8
did,8
locations,8
salt,8
ninth,8
chicago,8
images,8
o,7
done,7
stylistic,7
distributed,7
salado,7
archaeologists,7
tularosa,7
investigations,7
warfare,7
canyon,7
nogue,7
oxford,7
communication,7
drainages,7
how,7
levels,7
landscapes,7
ongoing,7
appear,7
scale,7
documented,7
personal,7
least,7
interregional,7
presented,7
below,7
tempe,7
characteristics,7
presence,7
preliminary,7
power,7
mesa,7
others,7
conclusions,7
relevant,7
perhaps,7
ladder,7
another,7
processes,7
office,7
emap,7
historic,7
perspectives,7
fairly,7
any,7
series,7
colorado,7
goods,7
plazas,7
hamlets,7
type,7
prestige,7
techniques,7
national,7
sandor,7
potential,7
utah,7
should,7
now,6
meaning,6
uplands,6
palomas,6
contexts,6
hohokam,6
lower,6
first,6
england,6
available,6
stoffel,6
iii,6
prior,6
sedentary,6
hierarchy,6
relations,6
century,6
kind,6
developments,6
casas,6
storage,6
even,6
details,6
apparently,6
using,6
york,6
rather,6
developed,6
space,6
clearly,6
just,6
four,6
suites,6
neitzel,6
dc,6
greater,6
scenes,6
recently,6
produced,6
otherwise,6
fish,6
haury,6
naturalistic,6
symbolism,6
broad,6
surrounding,6
realms,6
either,6
quite,6
portions,6
scott,6
maxwell,6
lyle,6
activities,6
related,6
second,6
identified,6
above,6
chap,6
chronology,6
demographic,6
turner,6
end,6
depopulation,6
focusing,6
valleys,6
examples,6
cambridge,6
rinaldo,6
systematics,6
food,6
times,6
ellis,6
ideational,6
wills,6
slightly,6
figures,6
grandes,6
bureau,6
lines,6
construction,6
types,6
centuries,6
earliest,6
environment,6
organizational,6
natural,6
continental,6
adler,6
kivas,6
size,6
reported,6
ennes,6
pine,6
trevathan,6
substantial,6
technological,6
resources,6
increase,6
does,5
ackerly,5
aboveground,5
systematically,5
mattocks,5
likely,5
boulder,5
descriptions,5
being,5
revisited,5
farmers,5
rich,5
religion,5
political,5
within,5
context,5
system,5
issue,5
u,5
demography,5
soils,5
conkey,5
swentzell,5
treasure,5
given,5
perspective,5
fig,5
wares,5
hamlet,5
caballo,5
landscape,5
certain,5
í,5
roth,5
lives,5
consider,5
occupational,5
jars,5
additional,5
