WORDCOUNTS,WEIGHT
the,1294
of,1228
and,980
in,660
to,405
a,323
that,233
is,177
on,177
as,161
j,154
for,153
from,134
m,128
complexity,119
complex,117
with,116
press,113
at,106
r,106
this,105
e,103
or,102
by,101
s,98
are,94
shell,93
pp,93
archaeology,91
social,90
g,88
p,86
an,85
mounds,85
university,84
eds,83
societies,80
coast,79
have,79
archaic,79
evolution,78
not,75
archaeological,72
d,71
mound,69
american,68
history,67
it,66
among,65
california,64
b,63
were,62
arnold,62
c,57
sassaman,56
new,56
hayden,55
but,55
be,55
has,54
these,53
t,52
more,51
been,51
was,50
cultural,50
l,49
k,49
northwest,48
evidence,48
point,47
change,47
inequality,46
cambridge,45
they,44
island,42
prehistoric,41
anthropology,41
resources,40
late,40
research,40
evolutionary,39
one,38
production,38
ethnographic,38
other,38
data,37
foragers,37
about,36
period,36
h,35
bp,35
ed,35
antiquity,35
north,35
those,34
south,34
economic,34
southern,34
over,34
i,33
et,33
russo,32
than,32
york,32
florida,32
between,32
some,31
organization,31
emergence,31
egalitarian,31
lee,31
food,31
emergent,31
human,30
such,30
anthropological,30
middle,30
coupland,29
populations,29
also,29
historical,29
into,28
journal,28
prehistory,28
sites,28
we,27
pacific,27
recent,27
chiefdoms,26
price,26
perspective,26
site,26
no,26
subsistence,26
al,26
power,26
all,25
case,25
his,25
society,25
southeast,25
rings,25
variation,25
w,25
structures,24
san,24
use,24
saunders,24
large,23
before,23
america,23
poverty,23
well,23
matson,23
chumash,23
theory,23
southeastern,23
ca,23
if,22
relations,22
coastal,22
their,22
brown,22
complexes,22
ames,21
work,21
under,21
model,21
any,21
although,21
environmental,20
storage,20
status,20
may,20
many,20
perspectives,20
through,20
early,20
groups,19
studies,19
archaeologists,19
thus,19
bay,19
its,19
when,19
indeed,19
culture,19
two,19
ecology,19
mortuary,19
primitive,18
labor,18
study,18
resource,18
academic,18
ranking,18
literature,18
watson,18
channel,18
see,18
exchange,18
control,18
conditions,18
state,17
economies,17
fig,17
columbia,17
process,17
river,17
f,17
only,17
washington,17
features,17
can,17
maschner,17
years,17
raab,16
sociocultural,16
kalahari,16
population,16
during,16
formations,16
settlement,16
regional,16
central,16
fitzhugh,16
northern,16
past,16
economy,16
francisco,16
lower,15
simple,15
hunting,15
vol,15
record,15
suggest,15
department,15
others,15
time,15
empirical,15
dating,15
construction,15
organizational,15
researchers,15
uk,15
gibson,14
hierarchy,14
alabama,14
greater,14
carolina,14
world,14
plan,14
luby,14
which,14
hunters,14
analysis,14
leacock,14
them,14
much,14
tuscaloosa,13
surplus,13
northeast,13
cases,13
whose,13
communism,13
n,13
origins,13
dc,13
however,13
because,13
gatherers,13
small,13
islands,13
structural,13
ring,13
forms,13
v,13
strategies,13
including,13
so,13
high,13
structure,13
suggests,13
differentiation,13
area,13
debate,13
lightfoot,12
there,12
political,12
politics,12
feinman,12
interior,12
kelly,12
how,12
most,12
behavioral,12
circular,12
claassen,12
contact,12
community,12
fact,12
feasting,12
anthropologist,12
present,12
locations,12
region,12
hierarchical,12
louisiana,12
sociopolitical,12
ecological,12
intensification,12
each,12
accounts,12
particular,12
intensified,12
foraging,11
approaches,11
long,11
definition,11
marine,11
system,11
heterarchy,11
review,11
apparently,11
burials,11
histories,11
brake,11
london,11
documented,11
several,11
he,11
museum,11
same,11
ingold,11
ethnohistoric,11
do,11
material,11
ethnology,11
significant,11
would,11
households,11
simply,11
paper,11
current,11
following,11
what,11
form,11
generally,11
size,11
valley,11
mode,11
gainesville,11
does,10
village,10
likely,10
ceremonial,10
gamble,10
contexts,10
first,10
nature,10
worldwide,10
papers,10
holocene,10
along,10
ritual,10
development,10
mobility,10
traits,10
without,10
notion,10
intensive,10
age,10
sedentism,10
concept,10
records,10
gruber,10
approach,10
pattern,10
patterns,10
existing,10
maritime,10
creek,10
clear,10
three,10
institutionalized,10
systems,10
life,10
practice,10
circumstances,10
alternative,10
agricultural,10
gender,10
little,10
level,10
crumley,10
heckenberger,10
o,9
corporate,9
plenum,9
tradition,9
differences,9
british,9
eastern,9
like,9
jones,9
rather,9
across,9
midwest,9
after,9
midden,9
scale,9
hereditary,9
habu,9
least,9
architecture,9
communities,9
riverine,9
arguably,9
japan,9
range,9
national,9
function,9
earlier,9
institution,9
provide,9
who,9
environment,9
antecedent,9
few,9
smithsonian,9
components,9
cultures,9
different,9
best,9
regard,9
both,9
subject,9
include,9
sharing,9
modern,8
practices,8
properties,8
either,8
suggesting,8
atlantic,8
mississippi,8
key,8
behavior,8
ranked,8
used,8
de,8
nelson,8
transegalitarian,8
back,8
even,8
traditions,8
forager,8
landscape,8
could,8
out,8
burial,8
recently,8
cannot,8
part,8
related,8
people,8
up,8
comparative,8
international,8
technology,8
where,8
number,8
examples,8
individuals,8
caney,8
stress,8
goods,8
transformations,8
science,8
middens,8
argue,8
chicago,8
making,8
temperatures,8
marquardt,8
variability,8
definitions,8
heide,8
remains,8
now,7
arctic,7
agency,7
asserted,7
variety,7
context,7
side,7
far,7
shellfish,7
clark,7
critique,7
hardly,7
osaka,7
derived,7
parts,7
ongoing,7
changes,7
stallings,7
wilmsen,7
show,7
bender,7
permanent,7
appear,7
term,7
institute,7
based,7
otherwise,7
blake,7
knowledge,7
intermediate,7
feasts,7
st,7
provided,7
will,7
units,7
plans,7
mobile,7
ancient,7
lack,7
larger,7
men,7
monographs,7
perhaps,7
understanding,7
made,7
band,7
significance,7
logic,7
times,7
especially,7
relative,7
arbor,7
species,7
ann,7
united,7
jomon,7
dissertation,7
then,7
ethnological,7
symbolic,7
known,7
intergroup,7
defining,7
berkeley,7
did,7
clearly,7
ethos,7
phd,7
cal,7
spatial,7
whether,7
adaptation,7
must,7
despite,7
argument,7
green,7
states,7
potential,7
johnson,7
given,7
common,6
later,6
altamira,6
introduction,6
group,6
paradigms,6
women,6
accumulation,6
walnut,6
jackson,6
take,6
date,6
possible,6
activity,6
conceptual,6
woodburn,6
diversity,6
egalitarianism,6
includes,6
chiefs,6
likewise,6
relatively,6
ai,6
schrire,6
developments,6
denbow,6
find,6
kentucky,6
competitive,6
distribution,6
dd,6
kodiak,6
similar,6
elsewhere,6
just,6
western,6
exploitation,6
instance,6
whereas,6
had,6
senri,6
configuration,6
bend,6
hierarchies,6
y,6
place,6
issues,6
climatic,6
dietler,6
preceded,6
field,6
below,6
climate,6
method,6
notes,6
led,6
still,6
riches,6
increasingly,6
toward,6
smith,6
treatment,6
grave,6
end,6
chiefdom,6
took,6
less,6
binford,6
original,6
africa,6
arose,6
assume,6
processes,6
theoretical,6
kennett,6
latter,6
anderson,6
erlandson,6
widely,6
enough,6
primarily,6
institutions,6
dimensions,6
transformation,6
types,6
habitation,6
theme,6
constructed,6
domestic,6
report,6
associated,6
berg,6
advances,6
according,6
observations,6
generalizable,6
found,6
formation,6
instead,6
effects,6
association,6
nonegalitarian,6
pathways,6
interaction,6
focus,6
broader,6
household,6
notably,5
johns,5
koyama,5
australia,5
salmon,5
book,5
farmers,5
inherent,5
signs,5
agriculture,5
apart,5
exchanges,5
exist,5
interments,5
cemeteries,5
relationships,5
millennium,5
basal,5
individual,5
response,5
general,5
growth,5
levels,5
environments,5
risk,5
direct,5
aquatic,5
productive,5
arcuate,5
gathering,5
plaza,5
consider,5
dated,5
presumed,5
consequence,5
warmer,5
result,5
plateau,5
harbor,5
understood,5
caves,5
aspects,5
multifamily,5
apparent,5
inherited,5
midsouth,5
beads,5
project,5
arise,5
pottery,5
attention,5
affluent,5
broughton,5
highly,5
mi,5
deboer,5
marked,5
allen,5
elaboration,5
aten,5
included,5
largest,5
sociohistorical,5
assert,5
santa,5
varies,5
efforts,5
consideration,5
areas,5
developed,5
winterhaider,5
man,5
outside,5
explicitly,5
mcguire,5
argues,5
another,5
deposits,5
kujit,5
illinois,5
refers,5
trade,5
caribbean,5
bradford,5
contributed,5
graves,5
internal,5
elaborate,5
southwest,5
tennessee,5
european,5
somewhat,5
abundance,5
dual,5
note,5
began,5
existed,5
considered,5
increased,5
series,5
frenchman,5
darwinian,5
tendencies,5
very,5
generalized,5
insley,5
explanations,5
terms,5
list,5
larson,5
foundations,5
local,5
hundreds,5
art,5
recognition,5
curet,5
wild,5
elliptical,5
parallels,5
carr,5
supported,5
gulf,5
major,5
hypothesis,5
difficult,4
horizontal,4
way,4
resulted,4
pauketat,4
expect,4
center,4
rick,4
prime,4
stone,4
true,4
treatise,4
park,4
wolf,4
comparisons,4
necessarily,4
sequential,4
societal,4
coasts,4
principles,4
continue,4
great,4
knight,4
analyses,4
follows,4
watercraft,4
last,4
geometric,4
milner,4
ascribed,4
insight,4
moseley,4
x,4
facto,4
sand,4
phase,4
throughout,4
differential,4
historically,4
bent,4
pursuit,4
heterogeneity,4
century,4
privilege,4
turn,4
altogether,4
body,4
malibu,4
houses,4
arranged,4
effective,4
dolphin,4
details,4
kung,4
carstens,4
terrestrial,4
expected,4
centered,4
certain,4
lacking,4
scales,4
consequences,4
support,4
means,4
specialization,4
orientation,4
additional,4
drought,4
beyond,4
important,4
classify,4
view,4
my,4
vayda,4
access,4
ambiguity,4
centers,4
fishing,4
base,4
density,4
further,4
informed,4
fish,4
tension,4
directions,4
none,4
example,4
vierra,4
patterning,4
woodland,4
savannah,4
consistent,4
trends,4
amazonia,4
www,4
cooperative,4
involve,4
order,4
http,4
involved,4
around,4
investigations,4
villages,4
productivity,4
roots,4
periods,4
processual,4
arrangement,4
implications,4
short,4
overall,4
sahlins,4
above,4
expanded,4
interactions,4
innovation,4
com,4
criticism,4
interpretation,4
violence,4
makes,4
interment,4
morgan,4
georgia,4
published,4
volume,4
politis,4
conceived,4
cable,4
communal,4
technologies,4
shows,4
idea,4
materialist,4
agree,4
monumentality,4
diameter,4
fashion,4
manner,4
purposes,4
huntergatherer,4
necessary,4
paired,4
territoriality,4
behaviors,4
farming,4
elite,4
encouraged,4
findings,4
largely,4
virtually,4
invulnerable,4
architectural,4
distinction,4
abundant,4
provides,4
never,4
winters,4
procurement,4
problems,4
qualities,4
adaptations,4
porcasi,4
ago,4
clusters,4
oxford,4
should,4
testing,4
practitioners,4
program,4
rim,4
why,4
often,4
stratified,4
contained,4
actually,4
conclusion,4
mentioned,4
rival,4
temporal,4
sorts,4
sciences,4
overexploitation,4
outcome,4
natural,4
intellectual,4
cemetery,4
chapman,4
global,4
constructions,4
privileged,4
merely,4
better,4
places,4
working,4
her,4
argued,4
multiple,4
four,4
beach,4
orlando,4
resistance,4
huntergatherers,4
webb,4
come,4
until,4
difference,4
structured,4
stratification,4
explanation,4
land,4
canadian,4
need,4
wiessner,4
involving,4
attributes,4
inequalities,4
fitness,4
specific,4
modeling,4
evolutionism,4
assumed,4
interdisciplinary,4
vary,4
abandoned,4
strong,4
willing,4
building,4
predicated,4
archives,3
transportation,3
done,3
undermines,3
junker,3
formed,3
authority,3
walker,3
former,3
woodbum,3
mesolithic,3
something,3
russell,3
invoking,3
lese,3
hence,3
taken,3
actual,3
kent,3
seems,3
words,3
shaped,3
europe,3
leading,3
generalize,3
narrative,3
influences,3
concepts,3
embody,3
refuse,3
tick,3
epistemological,3
existence,3
tuna,3
recorded,3
east,3
capacity,3
u,3
draw,3
constraints,3
taking,3
bailey,3
irrespective,3
repeatedly,3
goal,3
centralized,3
hongo,3
since,3
neighbors,3
regarded,3
needed,3
cf,3
jr,3
insofar,3
rank,3
precludes,3
elements,3
collections,3
serving,3
locales,3
explore,3
hensley,3
emphasize,3
kidder,3
leadership,3
salt,3
higher,3
civilization,3
arising,3
primitives,3
sort,3
requisite,3
factors,3
items,3
tensions,3
dichotomy,3
occupational,3
organized,3
prentiss,3
linked,3
latin,3
too,3
defines,3
hildebrandt,3
glassow,3
utah,3
explain,3
trajectories,3
plank,3
pastoral,3
allow,3
nonrandom,3
sedentary,3
events,3
noting,3
shapes,3
ceremonialism,3
crothers,3
wealth,3
montagnais,3
networks,3
wide,3
public,3
expressions,3
information,3
criteria,3
directly,3
network,3
inferred,3
basis,3
claim,3
brought,3
thoughts,3
keeley,3
fit,3
jefferies,3
partly,3
relevance,3
forces,3
away,3
surrounding,3
survey,3
rendered,3
ethnicity,3
traders,3
detailed,3
caused,3
constituent,3
shaping,3
grew,3
coupled,3
lawton,3
massive,3
family,3
latest,3
boundaries,3
core,3
always,3
annual,3
progress,3
appropriate,3
avoid,3
schiffer,3
matter,3
absence,3
van,3
action,3
synthesis,3
located,3
return,3
acknowledged,3
harris,3
interdependence,3
diet,3
exception,3
reproducing,3
pelagic,3
make,3
symmetry,3
rare,3
premises,3
perennial,3
flanagan,3
biological,3
once,3
simultaneous,3
emerged,3
happened,3
rife,3
demographic,3
today,3
complete,3
dialectical,3
indian,3
truncated,3
strata,3
latent,3
challenge,3
addition,3
head,3
instability,3
advantage,3
hiraguchi,3
compound,3
diverse,3
debates,3
ground,3
considers,3
intersite,3
origin,3
leveling,3
deep,3
simplicity,3
polities,3
thousands,3
connell,3
private,3
extended,3
vast,3
discussion,3
situating,3
locate,3
unpredictable,3
archaeologies,3
varying,3
unfortunately,3
hypotheses,3
dye,3
mims,3
causes,3
shea,3
submitted,3
engaged,3
full,3
historic,3
authors,3
publication,3
spread,3
mexico,3
stresses,3
keen,3
become,3
gaspar,3
opposite,3
dead,3
relationship,3
fueled,3
arc,3
fujita,3
continued,3
segments,3
identity,3
impressive,3
ideology,3
reasonable,3
vertical,3
monuments,3
seen,3
millennia,3
recognize,3
labrets,3
achieve,3
answer,3
phillips,3
centuries,3
forest,3
differentiated,3
variable,3
monument,3
growing,3
conlee,3
ever,3
exposition,3
set,3
hospitality,3
dimension,3
extant,3
descent,3
sugiyama,3
innovations,3
king,3
leaders,3
bit,3
particularly,3
brazil,3
living,3
assessment,3
knoll,3
namely,3
baja,3
problem,3
densities,3
produce,3
lesure,3
routledge,3
conference,3
conclude,3
kin,3
dependent,3
sea,3
city,3
role,3
african,3
lies,3
