WORDCOUNTS,WEIGHT
the,1358
of,1065
and,899
in,707
a,349
to,267
archaeology,217
aegean,184
j,161
at,148
bronze,147
on,141
age,139
b,122
l,119
c,117
university,115
g,113
as,113
for,108
greece,108
pp,105
s,104
mediterranean,104
e,102
de,98
studies,95
journal,93
from,89
d,89
eds,87
p,82
by,80
that,79
archaeological,79
has,74
m,72
press,67
r,65
et,65
classical,65
an,63
greek,63
w,62
with,61
t,60
ancient,58
new,55
crete,55
liège,55
early,55
prehistory,54
survey,53
ed,53
regional,53
h,52
is,52
evidence,52
n,50
late,49
minoan,49
trade,48
have,48
mycenaean,47
i,43
this,43
american,42
bennet,41
prehistoric,39
data,39
neolithic,38
cherry,38
research,38
cambridge,38
exchange,37
been,37
such,36
van,36
linear,34
state,34
université,34
athens,34
are,34
international,33
chronology,33
world,33
recent,33
f,32
palaima,32
study,32
was,32
runnels,32
or,31
british,30
proceedings,30
archaeologists,29
oxford,29
social,29
which,29
historical,29
aegaeum,29
it,28
à,28
their,28
work,28
island,28
society,28
institute,28
andel,27
york,27
athènes,27
not,27
austin,26
état,25
origins,25
franchthi,25
morris,25
gale,25
palatial,24
renfrew,24
its,24
field,24
were,24
we,24
school,24
conference,24
davis,23
k,23
earliest,23
context,22
landscape,22
manning,22
knossos,22
la,22
also,22
region,22
be,22
middle,22
some,21
development,21
galaty,21
islands,21
paul,21
pottery,21
analysis,21
laffineur,21
between,21
scripts,20
olivier,20
settlement,20
more,20
al,20
cycladic,20
cyprus,19
mainland,19
those,19
review,19
cave,19
london,19
periods,19
history,18
into,18
site,18
française,18
annual,18
held,18
palace,18
pylos,18
hellénique,18
later,17
approaches,17
eastern,17
than,17
most,17
snodgrass,17
le,17
but,17
these,17
program,17
les,17
o,16
all,16
other,16
excavations,16
theoretical,16
halstead,16
texas,16
förlag,16
years,16
symposium,16
école,16
dissertation,16
aströms,16
colonization,16
past,16
des,16
both,16
through,16
models,16
texts,16
textual,15
thera,15
example,15
project,15
small,15
results,15
he,15
southern,15
knapp,15
time,15
see,15
muhly,15
period,15
argolid,14
they,14
one,14
first,14
production,14
within,14
y,14
actes,14
problems,14
palaces,14
published,14
perlés,14
indiana,14
use,14
supplement,14
bulletin,14
ph,14
administration,14
greeceaegean,14
now,13
niemeier,13
du,13
egypt,13
beyond,13
recently,13
sites,13
used,13
reports,13
v,13
earlier,13
systems,13
anthropological,13
cyclades,13
presented,13
area,13
ca,13
bloomington,12
alcock,12
objects,12
based,12
however,12
stanford,12
zangger,12
relationship,12
antiquity,12
roman,12
interaction,12
copper,12
question,12
traditional,12
complex,11
correspondance,11
sources,11
swedish,11
script,11
date,11
interest,11
cf,11
rather,11
his,11
out,11
well,11
excavation,11
jonsered,11
patterns,11
paris,11
model,11
number,11
destruction,11
athen,11
different,11
december,11
current,11
economy,11
role,11
egyptian,11
princeton,10
eruption,10
papers,10
case,10
tablets,10
palaeolithic,10
svenska,10
stone,10
recherches,10
civilization,10
institutet,10
emergence,10
result,10
part,10
hägg,10
stockholm,10
shaping,10
many,10
areas,10
minnesota,10
john,10
administrative,10
carried,10
bottema,10
broodbank,10
control,10
killen,10
iii,10
bristol,10
formation,10
focus,10
major,10
available,9
there,9
political,9
america,9
vol,9
par,9
human,9
millennium,9
century,9
items,9
no,9
archaeometry,9
just,9
house,9
surface,9
rewley,9
societies,9
cultural,9
metals,9
obsidian,9
economic,9
land,9
culture,9
wright,9
department,9
only,9
provenience,9
projects,9
documents,9
centre,9
day,9
salamanca,9
especially,9
present,9
tin,9
watrous,9
mcdonald,9
series,9
complexity,9
over,9
seals,9
techniques,9
hesperia,9
writing,9
sur,9
much,9
sheffield,8
before,8
great,8
system,8
agriculture,8
hall,8
classics,8
ritual,8
z,8
jones,8
bintliff,8
similar,8
parts,8
changes,8
methodology,8
lead,8
rutter,8
absolute,8
possibility,8
fieldwork,8
change,8
methodological,8
minos,8
second,8
scientific,8
interpretation,8
man,8
minneapolis,8
understanding,8
discussion,8
questions,8
dating,8
methods,8
can,8
northern,8
marinatos,8
material,8
record,8
june,8
particularly,8
keos,8
theory,8
city,8
debate,8
documentary,8
politeia,8
sealings,7
modern,7
nature,7
colloque,7
comparative,7
discipline,7
mycéniens,7
west,7
cretan,7
central,7
mycenae,7
developments,7
fig,7
bernal,7
marks,7
internationale,7
important,7
view,7
histories,7
found,7
octobre,7
organisé,7
method,7
near,7
grecque,7
balkema,7
related,7
indigenous,7
journals,7
sherratt,7
approach,7
nj,7
wider,7
therefore,7
rome,7
above,7
technology,7
under,7
palmer,7
rise,7
ceramic,7
zeist,7
romaine,7
scholars,7
göteborg,7
thessaly,7
high,7
anatolia,7
égéens,7
primarily,7
scientifiques,7
