WORDCOUNTS,WEIGHT
of,1083
and,979
the,897
in,639
a,445
to,215
m,202
from,190
j,175
c,175
anthropology,173
s,166
d,163
human,152
journal,151
for,145
r,140
american,138
that,136
g,128
e,124
is,112
physical,110
l,108
press,106
eds,101
university,97
skeletal,95
larsen,94
are,91
et,87
h,80
new,78
p,75
archaeological,75
b,74
populations,74
health,71
on,69
bone,68
prehistoric,68
as,67
analysis,67
population,63
dental,62
no,60
pp,59
york,56
with,54
study,53
w,52
or,51
at,50
by,50
remains,50
ancient,49
an,47
have,47
evidence,47
been,46
ed,45
disease,45
cambridge,45
t,44
past,44
bioarchaeology,43
k,42
has,40
ai,39
biological,39
al,38
not,38
other,37
n,37
skeletons,35
this,35
these,34
patterns,34
international,34
studies,33
age,33
archaeology,33
dna,33
f,32
see,32
stress,32
bones,30
between,30
history,29
diet,29
skeleton,29
i,28
important,28
about,27
north,27
o,26
growth,26
settings,26
more,26
some,25
teeth,25
enamel,25
great,24
lambert,24
various,24
also,24
biology,24
series,24
living,24
america,23
katzenberg,23
but,23
diseases,22
strength,22
than,22
research,22
morphology,22
variation,22
native,22
saunders,22
dietary,22
world,22
groups,21
one,21
behavior,21
their,21
tooth,21
was,21
infectious,21
smithsonian,21
washington,21
it,20
changes,20
basin,20
example,20
south,20
antiquity,20
tuberculosis,20
papers,19
milner,19
agriculture,19
development,19
dc,19
florida,19
reconstruction,19
museum,19
v,19
ruff,19
bioarchaeological,19
rose,19
modern,18
fig,18
most,18
buikstra,18
isotope,18
indicators,18
osteoarchaeology,18
interpretation,18
violence,18
smith,18
turner,18
pattern,18
range,18
use,18
stable,18
early,18
humans,17
americans,17
however,17
during,17
microwear,17
sex,17
americas,17
be,17
long,16
armelagos,16
century,16
may,16
site,16
present,16
institution,16
illinois,16
lifestyle,15
asia,15
there,15
science,15
late,15
perspective,15
walker,15
had,15
documented,15
il,15
areas,15
cranial,15
period,15
specific,15
valley,15
recent,15
syphilis,14
such,14
activity,14
review,14
origins,14
ubelaker,14
traits,14
change,14
time,14
food,14
were,14
especially,14
over,14
years,14
differences,13
adult,13
white,13
well,13
social,13
cannibalism,13
many,13
people,13
which,13
yearbook,13
high,13
hutchinson,13
caries,13
anthropological,13
cemetery,13
historical,13
size,13
first,12
muscle,12
identification,12
mean,12
academic,12
record,12
y,12
its,12
southern,12
death,12
samples,12
evolution,12
individuals,12
life,12
powell,12
adaptation,12
information,12
trauma,12
they,11
analyses,11
investigations,11
british,11
warfare,11
de,11
advances,11
van,11
based,11
paleopathology,11
gender,11
highly,11
presence,11
scott,11
permission,11
foods,11
man,11
where,11
frequency,11
can,11
lines,11
mortality,11
wear,11
hemphill,11
transition,11
disruption,11
carbon,11
teaford,11
medieval,10
foraging,10
treponematosis,10
ii,10
farmers,10
molecular,10
case,10
eastern,10
possible,10
genetic,10
tissue,10
forensic,10
identifying,10
called,10
biodistance,10
data,10
status,10
ezzo,10
joints,10
farming,10
understanding,10
nutrition,10
values,10
contact,10
structure,10
africa,10
involving,10
circumstances,10
paper,10
suggests,10
goodman,10
environmental,9
center,9
western,9
defects,9
europe,9
resulting,9
issue,9
point,9
issues,9
central,9
price,9
hypoplasia,9
earlier,9
factors,9
kaestle,9
bridges,9
isotopes,9
because,9
approach,9
leprosy,9
do,9
region,9
roberts,9
general,9
methods,9
northern,9
temporal,9
schoeninger,9
different,9
what,9
city,9
weaning,9
states,9
increased,9
billman,9
represent,8
stone,8
implications,8
georgia,8
suggesting,8
state,8
paleodemography,8
key,8
demography,8
thus,8
cohen,8
mechanical,8
kelley,8
poor,8
craniofacial,8
prehistory,8
elevated,8
impact,8
four,8
show,8
utah,8
lesions,8
schwarcz,8
rourke,8
london,8
edn,8
used,8
molleson,8
reconstructing,8
trends,8
spanish,8
annual,8
using,8
identified,8
tissues,8
perspectives,8
garland,8
sandford,8
only,8
strontium,8
physiological,8
lake,8
plant,8
martin,8
thomas,8
salt,8
evolutionary,8
southwest,8
often,8
current,8
form,8
san,8
when,8
role,8
pietrusewsky,8
our,8
nutritional,8
mays,8
although,8
shift,8
gainesville,8
archeological,8
much,8
common,7
tuscaloosa,7
loading,7
maize,7
grupe,7
lower,7
all,7
estimation,7
occasional,7
king,7
x,7
resources,7
collection,7
frequencies,7
iron,7
due,7
osteoarthritis,7
springfield,7
paleoindians,7
alabama,7
rather,7
his,7
subsistence,7
osteology,7
animals,7
females,7
found,7
cultural,7
appears,7
mummies,7
revealed,7
regions,7
arkansas,7
developmental,7
likely,7
scientific,7
still,7
southeast,7
nubia,7
hypoplasias,7
two,7
childhood,7
relatedness,7
degree,7
bioarchaeologists,7
pathology,7
including,7
increase,7
laboratory,7
california,7
individual,7
like,7
function,7
who,7
indicate,7
diagnosis,7
united,7
sciences,7
natural,7
porotic,7
biomechanical,7
plants,7
theory,7
dentition,7
through,7
african,7
area,7
charles,7
hyperostosis,7
does,6
pääbo,6
later,6
large,6
burton,6
complex,6
biocultural,6
into,6
princeton,6
inc,6
diego,6
homo,6
nature,6
display,6
origin,6
last,6
skull,6
within,6
bending,6
behavioral,6
copenhagen,6
vol,6
diversity,6
postcranial,6
relationships,6
mtdna,6
ability,6
wiley,6
simpson,6
response,6
ambrose,6
kelly,6
oj,6
collagen,6
sample,6
how,6
similar,6
contributions,6
special,6
old,6
stillwater,6
foragers,6
gerven,6
relating,6
burial,6
hoppa,6
russell,6
sedentism,6
island,6
survey,6
regional,6
kennedy,6
either,6
several,6
climate,6
results,6
gordon,6
neolithic,6
berlin,6
kampsville,6
processing,6
reports,6
others,6
schurr,6
less,6
diets,6
pallidum,6
maya,6
interpreting,6
mortuary,6
largely,6
historic,6
mexico,6
least,6
problems,6
adaptations,6
morris,6
adaptive,6
la,6
dead,6
today,6
provide,6
paleodemographic,6
periosteal,6
environment,6
following,6
known,6
colonialism,6
ratio,6
articular,6
assessment,6
pathological,6
animal,6
beginning,6
reactions,6
males,6
both,6
john,6
haplogroup,6
consumption,6
attributes,6
effects,6
owsley,6
society,6
southeastern,6
isotopie,5
group,5
injuries,5
meindl,5
properties,5
baker,5
consistent,5
sources,5
setting,5
steckel,5
studied,5
composition,5
infection,5
owing,5
paleodietary,5
ortner,5
jackes,5
fracture,5
relatively,5
elements,5
oxford,5
tieszen,5
jones,5
rates,5
mesolithic,5
developed,5
levels,5
process,5
osteological,5
wash,5
india,5
resource,5
axis,5
whereas,5
greater,5
societies,5
method,5
representative,5
elemental,5
orbitalia,5
sites,5
harpending,5
blakely,5
marsh,5
reduction,5
related,5
woodland,5
reflect,5
chemistry,5
ratios,5
indicator,5
field,5
few,5
pfeiffer,5
manchester,5
coast,5
st,5
reduced,5
cribra,5
lukacs,5
indeed,5
indicates,5
grauer,5
relationship,5
metric,5
us,5
index,5
archeology,5
schultz,5
wetlands,5
lund,5
shows,5
springerverlag,5
tuross,5
macroscopically,5
cowboy,5
conditions,5
causes,5
low,5
femur,5
jantz,5
so,5
provides,5
anemia,5
interpretations,5
versus,5
joint,5
european,5
types,5
then,5
associated,5
breach,5
precise,5
fertility,5
argue,5
very,5
hillson,5
distribution,5
holocene,5
techniques,5
reveals,5
potential,5
observed,5
numic,5
profiles,5
ca,5
arizona,5
books,4
mostly,4
ursen,4
indicated,4
enthesiopathies,4
adoption,4
identify,4
insertion,4
bias,4
unlike,4
migration,4
contexts,4
being,4
archaeologists,4
spencer,4
potentially,4
link,4
comparative,4
ancestry,4
marine,4
nonmetric,4
lovell,4
verlag,4
linear,4
replacement,4
prior,4
fl,4
condition,4
carlyle,4
juvenile,4
component,4
ufe,4
clark,4
times,4
document,4
body,4
columbia,4
publications,4
weaver,4
pueblo,4
