WORDCOUNTS,WEIGHT
and,833
of,727
the,725
in,545
a,263
e,163
m,161
r,148
new,146
press,137
j,131
d,131
university,125
to,120
mexico,112
pp,110
archaeology,109
maya,108
c,105
s,103
eds,103
de,102
on,99
for,98
archaeological,98
g,92
l,89
w,88
american,87
t,82
studies,81
smith,72
ed,69
ancient,66
f,65
is,64
p,63
no,62
at,61
h,60
research,60
mesoamerica,59
york,59
world,57
aztec,55
by,52
from,52
et,49
b,47
al,47
city,47
latin,45
antiquity,45
that,44
an,44
are,43
complex,42
k,41
this,41
social,41
valley,41
societies,40
field,39
la,39
as,37
analysis,37
recent,37
political,36
agriculture,35
mesoamerican,35
earle,35
cambridge,35
classic,34
anthropology,34
state,33
n,33
peru,33
household,32
exchange,32
journal,31
data,31
obsidian,31
nacional,31
has,30
america,30
settlement,29
chiefdoms,28
en,28
y,28
polities,28
trade,28
have,28
regional,27
agricultural,27
be,27
models,27
production,26
hodge,26
economic,26
i,24
prehistoric,24
empire,24
been,24
economies,23
population,23
teotihuacan,23
washington,23
with,23
urban,23
interaction,23
historia,22
power,22
history,21
archaeologists,21
raised,21
central,21
development,21
most,21
study,21
sanders,20
organization,20
these,20
patterns,20
early,20
feinman,19
intensive,19
albuquerque,19
work,19
instituto,19
drennan,19
not,19
fields,19
case,18
systems,18
irrigation,18
dumbarton,18
issues,18
oaks,18
lange,18
or,18
see,18
other,18
methods,18
marcus,17
clark,17
perspective,17
their,17
basin,17
late,17
culbert,17
more,17
ceramic,17
antropología,17
inka,16
el,16
webster,16
house,16
approach,16
comparative,16
households,16
cities,16
institute,16
belize,16
evidence,16
much,16
among,16
méxico,15
oaxaca,15
oxford,15
international,15
change,15
society,15
charlton,15
reports,15
v,15
lake,15
santley,15
o,14
pittsburgh,14
one,14
papers,14
kolata,14
cultural,14
nichols,14
albany,14
copan,14
but,14
demographic,14
anthropologist,14
model,14
theoretical,14
realm,14
structure,14
northern,14
series,14
states,14
brumfiel,13
british,13
prehispanic,13
topic,13
explicit,13
excavations,13
universidad,13
del,13
bishop,13
many,13
scholars,13
pozorski,13
use,13
were,13
andean,13
cultivation,13
theory,13
ethnoarchaeological,12
renfrew,12
some,12
moseley,12
schortman,12
project,12
coast,12
south,12
architecture,12
expansion,12
region,12
period,12
economy,12
autónoma,12
include,12
although,12
area,12
nicholas,11
modern,11
evolution,11
origins,11
important,11
academic,11
sites,11
culture,11
two,11
projects,11
number,11
urbanism,11
craft,11
blanton,11
parsons,11
distribution,11
wilk,11
berdan,10
review,10
jr,10
houses,10
fowler,10
importance,10
mcanany,10
altroy,10
applied,10
coica,10
example,10
its,10
hayden,10
formative,10
lowland,10
kowalewski,10
also,10
areas,10
material,10
processes,10
obsidiana,10
morelos,10
anthropological,10
domestic,10
spatial,10
both,10
debate,10
it,9
boulder,9
sources,9
implications,9
highland,9
there,9
demography,9
vol,9
sabloff,9
such,9
terraces,9
coastal,9
empires,9
ashmore,9
utah,9
view,9
tiwanaku,9
moore,9
chiapas,9
artifacts,9
literature,9
terracing,9
few,9
community,9
department,9
postclassic,9
continue,9
significance,9
salt,9
can,9
attention,9
veracruz,9
prehistory,9
complexity,9
control,9
erickson,9
formation,9
between,9
voorhies,9
major,9
hyslop,8
evans,8
lowlands,8
all,8
puebla,8
denevan,8
survey,8
within,8
cherry,8
conceptual,8
tribute,8
adams,8
site,8
rice,8
out,8
austin,8
blake,8
method,8
planning,8
ot,8
hirth,8
ethnohistoric,8
polity,8
aveni,8
level,8
andes,8
methodological,8
yet,8
another,8
soconusco,8
which,8
ethnohistory,8
science,8
guatemala,8
costin,8
foundation,8
particularly,8
past,8
rural,8
advances,8
imperial,8
land,8
mesoamérica,7
large,7
inequality,7
rathje,7
analyses,7
issue,7
canal,7
netting,7
ortloff,7
civilization,7
specialization,7
impact,7
arqueología,7
conquest,7
centers,7
during,7
memoirs,7
texas,7
results,7
haas,7
under,7
siemens,7
discussed,7
chiefdom,7
binford,7
ecology,7
years,7
problems,7
un,7
intensification,7
ethnoarchaeology,7
carrasco,7
while,7
periphery,7
size,7
sharer,7
role,7
conn,7
chimor,7
titicaca,7
mexican,6
into,6
stanish,6
those,6
context,6
system,6
westview,6
politics,6
ball,6
human,6
mine,6
montmollin,6
price,6
tucson,6
terrace,6
than,6
chan,6
neff,6
museum,6
earlier,6
supplement,6
similar,6
michel,6
special,6
was,6
honduras,6
my,6
wealth,6
record,6
aspects,6
provincial,6
wari,6
fieldwork,6
mckillop,6
peruvian,6
dillehay,6
will,6
statecraft,6
wetland,6
hammond,6
cobean,6
southern,6
technology,6
perspectives,6
jai,6
ethnographic,6
variation,6
theories,6
architectural,6
after,6
topics,6
taschek,6
brown,6
los,6
construction,6
isaac,6
continues,6
current,6
report,6
gaxiola,6
wilken,6
asaro,6
middle,6
through,6
científica,6
stross,6
colo,6
greenwich,6
north,6
arizona,6
garcía,5
hieroglyphic,5
empirical,5
introduction,5
excavation,5
source,5
long,5
agrarian,5
harvey,5
roosevelt,5
inca,5
design,5
possible,5
bibliography,5
dynamics,5
drainage,5
back,5
publications,5
chimu,5
highlands,5
receiving,5
stark,5
greater,5
kingship,5
doolittle,5
oklahoma,5
mcewan,5
ceramics,5
osmore,5
fox,5
zapotee,5
information,5
because,5
comment,5
dynasties,5
systematic,5
published,5
interregional,5
several,5
arquitectura,5
decline,5
sophistication,5
geographical,5
ana,5
scientific,5
yucatan,5
positive,5
about,5
interpretation,5
monte,5
chronology,5
insights,5
knapp,5
houston,5
ecological,5
joyce,5
pressure,5
colección,5
time,5
considerable,5
strategies,5
diehl,5
three,5
comprehensive,5
article,5
we,5
tula,5
carried,5
me,5
ideology,5
wilson,5
rattray,5
specific,5
very,5
notable,5
terms,5
art,5
sheets,5
arguments,5
cuadernos,5
arnold,5
otumba,5
need,5
preliminary,5
tourtellot,5
interdisciplinary,5
norman,5
traditional,5
focus,5
now,4
härtung,4
they,4
group,4
center,4
methodology,4
boca,4
san,4
approaches,4
grove,4
segmentary,4
ii,4
nature,4
sustainable,4
scarr,4
azul,4
alban,4
concepts,4
mackey,4
occasional,4
existence,4
sophisticated,4
u,4
far,4
above,4
behavior,4
labor,4
collapse,4
z,4
ai,4
estimates,4
creamer,4
nelson,4
gaseo,4
hidalgo,4
costa,4
philadelphia,4
active,4
space,4
lithic,4
economics,4
killion,4
moctezuma,4
ann,4
technical,4
crc,4
berlo,4
hinterland,4
michigan,4
recently,4
persons,4
hendon,4
farrington,4
well,4
schreiber,4
