WORDCOUNTS,WEIGHT
the,1630
of,1413
and,1381
in,1072
a,509
j,344
r,333
archaeology,313
to,298
e,253
d,243
pp,238
illinois,238
m,212
late,212
on,198
mississippian,196
university,193
t,186
c,182
g,174
l,168
press,163
s,154
cahokia,144
that,140
american,140
eds,134
site,131
ed,130
from,126
w,123
woodland,119
for,118
b,118
archaeological,112
p,106
as,106
are,103
no,101
emerson,100
state,98
have,98
research,96
societies,94
valley,93
oneota,92
prehistoric,91
journal,90
at,88
with,87
eastern,86
or,86
wisconsin,84
midcontinent,81
some,79
midcontinental,79
iowa,78
an,75
sites,71
new,71
were,69
michigan,67
been,67
past,66
cultural,65
k,65
is,65
great,64
north,64
museum,63
by,63
mississippi,60
pauketat,60
ancient,60
precontact,59
f,59
anthropology,58
et,57
missouri,56
states,56
milner,55
ohio,55
settlement,53
united,53
h,52
southeastern,52
archaeologists,51
other,51
lakes,50
antiquity,50
papers,50
o,49
river,48
patterns,48
mounds,48
central,47
upper,47
these,47
people,46
america,45
prehistory,43
al,43
honor,43
i,42
world,42
bottom,41
fort,41
analysis,41
springfield,41
studies,40
tradition,40
has,40
social,40
be,40
western,39
mound,39
this,38
culture,38
current,38
brown,37
brien,36
across,36
mcelrath,36
smith,36
maize,35
kentucky,35
many,35
northern,35
middle,35
data,34
schroeder,34
region,34
fortier,34
green,34
development,33
county,33
southern,33
reports,33
area,33
woodlands,32
may,32
their,32
archaeologist,32
society,32
ceramic,32
over,32
history,31
regional,31
also,31
between,31
stoltman,31
it,30
vol,30
midwest,30
lincoln,30
more,30
which,30
nebraska,29
department,29
charles,29
subsistence,28
fowler,28
urbana,28
change,28
washington,28
agriculture,27
found,27
population,27
artifacts,27
small,27
use,27
sociopolitical,27
not,27
dissertation,27
complex,26
there,26
archeologist,26
communities,26
perspectives,26
minnesota,26
time,26
phd,26
interaction,26
essays,25
unpublished,25
york,25
southeast,25
peoples,25
about,24
evidence,24
madison,24
recent,24
scientific,23
n,23
material,23
exchange,23
systems,23
science,23
cultures,23
village,22
settlements,22
agency,22
dc,22
political,22
such,22
ceramics,22
was,22
used,22
but,22
historic,22
ideology,22
among,22
they,21
dunnell,21
bareis,21
mainfort,21
indiana,21
complexity,21
paper,21
early,21
approaches,20
materials,20
investigations,20
brose,20
than,20
contact,20
taxonomy,20
lake,20
after,20
often,20
report,20
theory,20
center,19
large,19
boszhardt,19
southwestern,19
jr,19
alabama,19
study,19
production,19
modoc,19
highways,19
ahler,19
plains,19
particularly,19
historical,19
places,19
agricultural,19
mesoamerica,18
lower,18
resources,18
human,18
phase,18
kelly,18
pottery,18
around,18
native,18
who,18
distribution,18
transportation,17
perspective,17
gibbon,17
part,17
interactions,17
lewis,17
including,17
period,17
economy,17
city,17
remains,17
ca,17
groups,16
survey,16
institution,16
parts,16
jeske,16
raw,16
method,16
occupation,16
halsey,16
smithsonian,16
villages,16
areas,16
variation,16
anthropologist,16
understanding,16
office,16
preservation,16
especially,16
transformation,16
anthropological,16
lopinot,16
through,16
models,16
chemical,16
tuscaloosa,15
into,15
system,15
hall,15
relationships,15
dynamics,15
most,15
origins,15
appear,15
had,15
diet,15
well,15
related,15
various,15
several,15
woods,15
toward,15
rock,15
food,15
practice,15
griffin,15
along,14
ai,14
landscape,14
creek,14
organization,14
example,14
henderson,14
during,14
will,14
chronology,14
power,14
rivers,14
times,14
plant,14
wi,14
bulletin,14
changing,14
carbon,14
within,13
fig,13
scarry,13
shell,13
archeological,13
watts,13
its,13
st,13
cleland,13
south,13
variety,13
local,13
structure,13
ann,13
ofmelvin,13
associated,13
different,13
periphery,13
williamson,13
although,13
kinds,12
stone,12
modern,12
before,12
case,12
west,12
traditions,12
arbor,12
northeastern,12
important,12
buried,12
mi,12
future,12
symbolism,12
community,12
domination,12
stothers,12
asch,12
scholars,12
where,12
analyses,12
emphasize,12
cowan,12
retrieving,12
spatial,12
variability,12
much,12
wild,12
years,12
mason,12
chiefdoms,11
context,11
diversity,11
columbia,11
taming,11
kent,11
even,11
record,11
ford,11
isotope,11
structures,11
tennessee,11
implications,11
movement,11
cranbrook,11
institute,11
evolution,11
like,11
drooker,11
plants,11
observations,11
size,11
bloomfield,11
hills,11
views,11
mortuary,10
one,10
warfare,10
eastendbooks,10
ritual,10
review,10
ct,10
changes,10
objects,10
focused,10
buikstra,10
near,10
florida,10
ceremonial,10
economic,10
parker,10
nature,10
issues,10
toronto,10
towns,10
model,10
made,10
louis,10
features,10
southwest,10
space,10
program,10
hinterlands,10
distinctive,10
schroedcr,10
cambridge,10
intergroup,10
holman,9
gallagher,9
those,9
u,9
demography,9
mccullough,9
conflict,9
bone,9
houses,9
dates,9
identification,9
certain,9
midcontinentaljournal,9
emergence,9
decades,9
view,9
basin,9
lived,9
excavations,9
further,9
appears,9
literature,9
arzigian,9
when,9
sasso,9
expansion,9
williams,9
pollack,9
demographic,9
occupations,9
figurines,9
pattern,9
v,9
strategies,9
number,9
mexico,9
martin,9
evolutionary,9
present,9
temporal,9
benn,9
advances,9
holley,9
information,9
stevenson,9
using,9
increased,9
gainesville,9
building,9
northeast,8
red,8
decade,8
brashler,8
upland,8
long,8
jackson,8
all,8
available,8
differences,8
composition,8
hunting,8
digital,8
posts,8
occasional,8
fritz,8
squash,8
bison,8
diets,8
westport,8
confluence,8
neff,8
how,8
special,8
surface,8
prairie,8
burial,8
midwestern,8
regions,8
stage,8
müller,8
techniques,8
make,8
settings,8
thought,8
two,8
others,8
praeger,8
addition,8
lack,8
seeman,8
see,8
style,8
process,8
chronologies,8
values,8
radiocarbon,8
dating,8
characterized,8
construction,8
johnson,8
sometimes,8
seen,8
methods,8
stable,8
living,8
what,8
morse,8
emergent,8
protohistoric,8
earthen,8
chicago,8
cahokian,8
corn,8
focus,8
built,8
gis,7
isotopie,7
eclipse,7
glascock,7
introduction,7
lyman,7
relatively,7
developments,7
collagen,7
without,7
growth,7
interpretation,7
hughes,7
overstreet,7
albuquerque,7
iconography,7
called,7
academic,7
density,7
oh,7
having,7
goldstein,7
london,7
inferences,7
polity,7
approach,7
few,7
populations,7
transition,7
technology,7
locality,7
indian,7
sullivan,7
larger,7
johannessen,7
chiefdom,7
polities,7
assemblages,7
elite,7
questions,7
interpretations,7
monographs,7
lynott,7
occupied,7
connections,7
ago,7
ambrose,7
mehrer,7
aboriginal,7
effigy,7
carbondale,7
phillips,7
schurr,7
east,7
collins,7
extent,7
conference,7
little,7
role,7
smaller,7
plenum,7
mchale,6
group,6
tempered,6
inequality,6
contexts,6
themes,6
winnebago,6
melvin,6
sources,6
lexington,6
wesler,6
wagner,6
ad,6
sophisticated,6
household,6
economies,6
clay,6
heterogeneity,6
application,6
cf,6
individual,6
oklahoma,6
ma,6
coverage,6
organized,6
house,6
jars,6
resource,6
lithic,6
peninsula,6
management,6
however,6
because,6
basis,6
prominent,6
discussions,6
ontario,6
horizon,6
working,6
multiple,6
annual,6
grand,6
nonlocal,6
projects,6
analytical,6
efforts,6
forms,6
henning,6
compositional,6
valleys,6
farming,6
manifestations,6
empirical,6
residues,6
willey,6
theoretical,6
taxonomic,6
households,6
anderson,6
can,6
la,6
european,6
relationship,6
directions,6
perhaps,6
statewide,6
types,6
fields,6
interpretive,6
any,6
dispersed,6
series,6
set,6
natural,6
control,6
animal,6
lovis,6
making,6
generally,6
phenomena,6
emphasis,6
reported,6
lacrosse,6
langford,6
classification,6
surveys,6
abandoned,6
traditional,6
inventories,6
common,5
isotopes,5
environmental,5
determine,5
park,5
excavation,5
ag,5
pots,5
chief,5
katzenberg,5
similarities,5
king,5
porter,5
possible,5
variations,5
framework,5
electron,5
ute,5
neitzel,5
since,5
conrad,5
drainage,5
publications,5
explore,5
leadership,5
individuals,5
developed,5
earlier,5
contributions,5
distant,5
plaza,5
pemiscot,5
numbers,5
impact,5
argued,5
age,5
additional,5
rice,5
exploitation,5
based,5
faunal,5
sedentary,5
circular,5
aspects,5
fox,5
wide,5
spiro,5
place,5
artifact,5
interpreted,5
trends,5
contrast,5
involved,5
migration,5
highly,5
results,5
theler,5
moved,5
periods,5
likely,5
architecture,5
tract,5
comments,5
oasis,5
birmingham,5
continuity,5
restricted,5
ams,5
cogswell,5
ethnology,5
increasingly,5
esarey,5
members,5
paul,5
krakker,5
head,5
murphy,5
hargrave,5
simple,5
ground,5
underworld,5
baerreis,5
mill,5
crosse,5
aztalan,5
continue,5
laboratory,5
national,5
landscapes,5
general,5
topics,5
modification,5
movements,5
simon,5
frontier,5
erie,5
beans,5
earliest,5
fertility,5
variable,5
geographic,5
sourcing,5
vessel,5
did,5
dietary,5
goods,5
cultivation,5
form,5
adaptation,5
while,5
